"","n_ord","dataset","ID_dataset","decimalLatitude","decimalLongitude","retener","anio","mes","dia","stateProvince","county","locality","habitat"
"61",61,"gbif","3307849266",21.467,-104.917,"si",1989,2,4,"Nayarit","","A 9.3 KM AL W DE JALCOCOTAN EN CAMINO A MIRAMAR",""
"62",62,"gbif","3307841468",17.66088359,-101.6062276,"si",1985,2,15,"Guerrero","ZIHUATANEJO DE AZUETA","en la playa de Ixtapa.",""
"67",67,"gbif","3307681295",19.23761368,-96.61237119,"si",1973,1,26,"Veracruz","PUENTE NACIONAL","Pachuquilla",""
"71",71,"gbif","3307602350",23.42538101,-105.882233,"si",1955,3,18,"Sinaloa","","Mountinside 31 miles east of Villa Unií_n",""
"72",72,"gbif","3307598331",24.3296246,-107.048175,"si",1940,2,12,"Sinaloa","","Capadero, Sierra Tacuichamona","Damp shady canyon bottom under trees. Oak forest"
"76",76,"gbif","3079734153",19.225173,-104.685883,"si",2021,2,8,"Jalisco","","Cihuatlan, Jal., Mexico",""
"79",79,"gbif","3044957089",15.879965,-96.333888,"si",2021,2,21,"Oaxaca","","San Pedro Pochutla, Oax., MíŠxico",""
"91",91,"gbif","2993509340",23.33083,-105.98361,"si",2007,2,28,"Sinaloa","Concordia","Turnoff to La Guasima on MEX 40, Comunidad la Guíçsima (north-northeast of Concordia).",""
"94",94,"gbif","2883001653",24.414722,-106.676944,"si",2020,10,4,"Sinaloa","","",""
"97",97,"gbif","2807627649",17.98427642,-101.6141079,"si",1937,12,10,"Guerrero","","Vallecitos, Dto Montes de Oca",""
"102",102,"gbif","2807320523",20.43435405,-105.3021647,"si",1994,4,6,"Jalisco","Puerto Vallarta","Puerto Vallarta, 30 Km S, Puente La Puerta",""
"104",104,"gbif","2807240801",19.02,-103.87,"si",1990,2,13,"Colima","","9 Km N crucero de Manzanillo, hacia Minatitlan",""
"108",108,"gbif","2629714080",19.302222,-96.566111,"si",1982,1,30,"Veracruz","PUENTE NACIONAL","El Cedro","Selva baja caducifolia, riparia"
